69, 66, 69, 65
67, 68, 74, 65
69, 66, 68, 67
69, 66, 70, 67
69, 66, 72, 65
69, 66, 70, 67
68, 65, 70, 69
68, 66, 71, 66
68, 66, 69, 67
69, 66, 69, 68
69, 66, 69, 66
68, 67, 71, 65
68, 67, 67, 67
69, 65, 69, 66
68, 67, 68, 65
68, 68, 68, 68
68, 65, 70, 68
68, 66, 74, 64
68, 67, 70, 66
68, 67, 68, 67
68, 67, 71, 65
68, 67, 69, 65
68, 67, 65, 68
68, 65, 68, 66
68, 66, 71, 65
68, 67, 69, 65
69, 66, 66, 66
68, 66, 72, 66
69, 67, 69, 66
69, 66, 67, 68
69, 65, 73, 65
68, 67, 71, 64
68, 67, 67, 67
69, 66, 73, 67
68, 66, 71, 64
68, 66, 69, 67
68, 65, 71, 66
67, 66, 70, 65
67, 68, 69, 65
69, 65, 68, 67
68, 66, 71, 65
67, 66, 72, 64
68, 67, 68, 67
69, 65, 68, 66
67, 67, 70, 65
68, 67, 70, 66
69, 65, 70, 66
67, 67, 71, 64
68, 67, 69, 66
68, 66, 68, 67
68, 65, 69, 65
68, 67, 70, 64
69, 65, 69, 66
69, 66, 71, 66
67, 66, 71, 64
68, 67, 69, 65
68, 66, 69, 66
68, 66, 70, 64
68, 66, 71, 65
67, 66, 70, 68
68, 67, 69, 65
69, 68, 71, 63
68, 67, 68, 67
68, 66, 67, 65
67, 66, 71, 64
68, 67, 70, 65
69, 66, 68, 66
68, 66, 70, 64
67, 68, 68, 66
68, 66, 68, 65
68, 67, 73, 65
67, 66, 69, 63
71, 70, 68, 65
66, 67, 66, 64
67, 68, 68, 65
68, 66, 69, 65
69, 66, 71, 66
68, 65, 71, 65
68, 66, 70, 66
68, 67, 72, 67
69, 67, 72, 65
67, 67, 72, 64
69, 67, 68, 66
69, 65, 72, 66
68, 68, 71, 64
69, 67, 67, 66
69, 67, 70, 65
68, 66, 72, 65
69, 67, 70, 65
69, 66, 67, 64
67, 66, 67, 63
68, 65, 68, 63
67, 66, 66, 64
68, 64, 72, 65
66, 66, 71, 63
68, 67, 72, 65
69, 66, 74, 64
66, 66, 73, 64
67, 66, 67, 65
69, 64, 67, 66
67, 67, 71, 64
68, 67, 76, 70
74, 102, 69, 66
68, 117, 68, 63
67, 72, 66, 62
67, 57, 66, 64
68, 61, 67, 61
61, 57, 65, 59
62, 65, 68, 63
63, 69, 68, 67
68, 68, 72, 67
63, 69, 75, 72
67, 67, 76, 70
61, 61, 72, 68
61, 65, 73, 63
60, 73, 73, 73
54, 61, 75, 71
62, 63, 73, 58
63, 69, 71, 59
127, 67, 64, 62
93, 68, 71, 60
55, 57, 68, 69
77, 64, 68, 69
62, 68, 68, 69
73, 69, 70, 61
69, 62, 65, 56
65, 63, 70, 64
65, 68, 69, 64
63, 65, 66, 69
70, 65, 71, 66
66, 60, 71, 65
67, 67, 68, 64
68, 64, 68, 64
69, 66, 129, 39
1888, 37, 84, 61
669, 78, 71, 67
140, 74, 69, 66
119, 58, 71, 67
89, 63, 69, 63
73, 62, 68, 66
62, 62, 69, 64
61, 67, 71, 63
69, 67, 68, 69
66, 66, 70, 66
70, 65, 72, 61
65, 66, 69, 201
1766, 139, 3, 130
665, 110, 59, 72
259, 70, 68, 71
130, 56, 72, 68
100, 59, 73, 65
59, 62, 72, 62
63, 63, 70, 67
63, 65, 70, 68
69, 66, 71, 62
70, 66, 69, 68
68, 64, 70, 68
68, 66, 70, -37
3798, 39, 67, 3
878, 3, 72, 43
151, 48, 73, 67
141, 72, 72, 56
83, 71, 74, 69
72, 68, 76, 67
61, 66, 73, 64
64, 67, 72, 68
63, 66, 71, 66
65, 65, 72, 66
64, 66, 72, 66
69, 64, 72, 66
65, 65, 72, 67
66, 65, 68, 65
66, 65, 70, 67
64, 65, 72, 66
64, 65, 69, 65
67, 65, 71, 67
68, 66, 74, 65
66, 67, 72, 64
64, 66, 72, 67
67, 64, 71, 66
-92, -8, -258, 3663
429, 233, 78, 1454
125, 147, 66, 227
75, 70, 68, 181
69, 46, 70, 206
66, 66, 69, 47
67, 63, 69, 2
67, 72, 71, 149
65, 68, 70, 109
68, 61, 71, -2
68, 66, 71, -184
453, 398, 425, 7244
23, 58, 126, 1358
65, 86, 79, 733
68, 92, 67, -70
46, 77, 68, 145
61, 76, 67, 266
63, 62, 70, 56
64, 65, 70, -18
64, 62, 70, 139
66, 62, 72, 153
66, 65, 70, -14
65, 33, -185, 6540
72, 274, -70, 1944
68, 47, 52, 678
67, 25, 68, 166
64, 60, 70, 87
63, 67, 70, 213
67, 73, 69, 76
67, 56, 69, -10
66, 67, 70, 116
67, 64, 70, 126
67, 65, 67, 5
65, 66, 71, 58
66, 65, 69, 127
67, 65, 69, 55
67, 64, 71, 32
66, 77, 73, 101
65, 68, 72, 88
67, 40, 68, 37
65, 74, 70, 69
66, 57, 70, 96
67, 52, 68, 60
67, 77, 73, 1486
-121, 11868, -110, -397
-778, 7946, 355, 1062
229, 3536, -32, 38
34, 1478, 60, 142
71, 352, 66, 101
68, 196, 67, 47
60, 107, 68, 84
65, 112, 70, 83
66, 90, 67, 61
66, 91, 72, 63
64, 82, 69, 2328
-335, 9725, -186, 184
-689, 4190, -93, 383
-158, 1234, 2, 74
17, 438, 54, 106
52, 147, 66, 80
56, 191, 70, 64
67, 106, 68, 55
67, 99, 68, 71
67, 89, 70, 62
68, 64, 73, 58
67, 75, 3214, -103
-290, 8137, 257, -514
-739, 6837, 224, -1
-251, 1465, 100, 65
10, 465, 75, 67
51, 110, 72, 65
67, 96, 70, 55
68, 82, 69, 60
66, 73, 72, 69
67, 83, 73, 65
66, 78, 68, 62
69, 69, 70, 72
68, 80, 70, 67
67, 78, 71, 65
65, 78, 69, 68
65, 71, 73, 68
64, 73, 72, 66
66, 69, 67, 68
65, 70, 70, 67
65, 64, 71, 68
66, 72, 69, 66
65, 67, 70, 69
67, 75, 1191, -499
891, 6076, 198, -452
289, 2082, 91, -40
55, 677, 76, 41
115, 384, 71, 87
81, 143, 71, 55
67, 67, 70, 71
67, 56, 70, 62
62, 56, 67, 66
66, 64, 69, 71
67, 88, 77, -619
1065, 8565, 467, -358
57, 3398, 138, -82
62, 1066, 85, 39
55, 233, 72, 43
66, 165, 71, 86
71, 137, 68, 63
69, 79, 70, 69
71, 57, 67, 68
63, 69, 71, 67
64, 75, 71, 70
530, 5594, -774, 74
817, 3667, -248, 85
288, 2294, -157, 86
130, 959, 10, 76
92, 204, 57, 44
62, 114, 67, 60
68, 115, 68, 70
64, 62, 66, 70
70, 81, 68, 59
63, 86, 71, 74
68, 76, 69, 67
70, 69, 69, 68
67, 61, 70, 64
65, 55, 68, 72
70, 58, 67, 69
71, 62, 71, 65
67, 73, 69, 66
67, 76, 70, 72
69, 76, 68, 64
68, 74, 72, 66
65, 63, 69, 70
68, 75, 69, 6188
-119, 8658, -186, 1662
-594, 3624, -20, 596
-47, 527, 50, 135
42, 444, 68, -53
54, 235, 66, 199
67, 97, 66, 41
65, 69, 67, 10
68, 66, 70, 107
66, 60, 70, 99
65, -30, 1376, 2434
-694, 4968, 227, 590
-53, 2339, 90, 75
51, 1073, 72, 141
59, 410, 72, 53
59, 153, 70, 111
69, 4, 68, 70
67, 40, 69, 16
64, 58, 71, 116
68, 61, 71, 68
3001, 8885, -375, 4173
-56, 5720, -123, 1293
-50, 638, 39, 93
38, 190, 63, 129
65, 218, 72, 173
72, 87, 72, 46
69, 96, 71, 43
67, 64, 70, 75
67, 66, 72, 100
67, 60, 72, 54
69, 93, 70, 46
68, 82, 73, 102
68, 84, 70, 69
69, 68, 70, 44
69, 68, 71, 76
66, 57, 71, 83
